firstSim,secondSim,id1,id2
0.14876033,0.14977974,C01BD,C01BD
0.7777778,0.37259102,C03BA,C03BA
0.21818182,0.3326087,C03BA,C03BA
0.57894737,0.3685446,C03BA,C03BA
0.978022,0.83495146,N05CA,N05CA
0.12765957,0.36612022,N05CA,Multiple
0.9270833,0.7669903,N05CA,Multiple
0.978022,1.0,N05CA,N05CA
0.978022,0.66,N05CA,N05CA
0.978022,0.55128205,N05CA,N05CA
0.978022,0.44329897,N05CA,Multiple
0.071428575,0.1125,N03AG,N03AG
0.25,0.6097561,N03AG,N03AG
0.95454544,0.5068493,N02CC,N02CC
0.72727275,0.49095607,N02CC,N02CC
0.95454544,0.4398977,N02CC,N02CC
0.8863636,0.4822335,N02CC,N02CC
0.72727275,0.49052134,N02CC,N02CC
0.34736842,0.3148936,L01XE,L01XE
0.76865673,0.6643026,L01XE,L01XE
0.31196582,0.3480084,L01XE,L01XE
0.375,0.33781514,L01XE,L01XE
0.8442623,0.60764587,L01XE,L01XE
0.3815029,0.3108911,L01XE,L01XE
